field_device_phone_number,status,role_id
07959236117,allocated,HA-ADU1
07787794789,allocated,HA-ADU1-ZA
07061803422,allocated,HA-ADU1-ZA-01
07865677104,allocated,HA-ADU1-ZA-02
07037749980,allocated,HA-ADU1-ZA-03
07567996092,allocated,HA-ADU1-ZA-04
07623536374,allocated,HA-ADU1-ZA-05
07730502894,allocated,HA-ADU1-ZA-06
07120152307,allocated,HA-ADU1-ZA-07
07173654931,allocated,HA-ADU1-ZA-08
07820410622,allocated,HA-ADU1-ZA-09
07990823529,allocated,HA-ADU1-ZA-10
07972750067,allocated,HA-ADU1-ZB
07534413868,allocated,HA-ADU1-ZB-01
07998836379,allocated,HA-ADU1-ZB-02
07417540130,allocated,HA-ADU1-ZB-03
07634003148,allocated,HA-ADU1-ZB-04
07945913054,allocated,HA-ADU1-ZB-05
07416212578,allocated,HA-ADU1-ZB-06
07063350908,allocated,HA-ADU1-ZB-07
07219681597,allocated,HA-ADU1-ZB-08
07139808037,allocated,HA-ADU1-ZB-09
07244829649,allocated,HA-ADU1-ZB-10
07095326008,allocated,HA-ADU1-ZC
07781198553,allocated,HA-ADU1-ZC-01
07145636253,allocated,HA-ADU1-ZC-02
07298007822,allocated,HA-ADU1-ZC-03
07239233532,allocated,HA-ADU1-ZC-04
07589647134,allocated,HA-ADU1-ZC-05
07214859057,allocated,HA-ADU1-ZC-06
07505822021,allocated,HA-ADU1-ZC-07
07232103056,allocated,HA-ADU1-ZC-08
07281683133,allocated,HA-ADU1-ZC-09
07038391300,allocated,HA-ADU1-ZC-10
07572881197,allocated,HA-ADU2
07533938090,allocated,HA-ADU2-ZA
07706209047,allocated,HA-ADU2-ZA-01
07974863832,allocated,HA-ADU2-ZA-02
07088127746,allocated,HA-ADU2-ZA-03
07845076465,allocated,HA-ADU2-ZA-04
07812489527,allocated,HA-ADU2-ZA-05
07538384220,allocated,HA-ADU2-ZA-06
07314089990,allocated,HA-ADU2-ZA-07
07534399335,allocated,HA-ADU2-ZA-08
07090299212,allocated,HA-ADU2-ZA-09
07587184603,allocated,HA-ADU2-ZA-10
07973212826,allocated,HA-ALL1
07027604167,allocated,HA-ALL1-ZA
07476152099,allocated,HA-ALL1-ZA-01
07592471206,allocated,HA-ALL1-ZA-02
07182234214,allocated,HA-ALL1-ZA-03
07563218438,allocated,HA-ALL1-ZA-04
07865614063,allocated,HA-ALL1-ZA-05
07725303681,allocated,HA-ALL1-ZA-06
07708467802,allocated,HA-ALL1-ZA-07
07292395403,allocated,HA-ALL1-ZA-08
07183415479,allocated,HA-ALL1-ZA-09
07050328832,allocated,HA-ALL1-ZA-10
07633573939,allocated,HA-ALL1-ZB
07918197562,allocated,HA-ALL1-ZB-01
07625278903,allocated,HA-ALL1-ZB-02
07480672968,allocated,HA-ALL1-ZB-03
07151171055,allocated,HA-ALL1-ZB-04
07089742032,allocated,HA-ALL1-ZB-05
07085217699,allocated,HA-ALL1-ZB-06
07564892853,allocated,HA-ALL1-ZB-07
07968633104,allocated,HA-ALL1-ZB-08
07429059292,allocated,HA-ALL1-ZB-09
07994024470,allocated,HA-ALL1-ZB-10
07065013520,allocated,HA-ALL1-ZC
07678837549,allocated,HA-ALL1-ZC-01
07634661690,allocated,HA-ALL1-ZC-02
07597537918,allocated,HA-ALL1-ZC-03
07349415573,allocated,HA-ALL1-ZC-04
07150919802,allocated,HA-ALL1-ZC-05
07960965338,allocated,HA-ALL1-ZC-06
07366295302,allocated,HA-ALL1-ZC-07
07615673799,allocated,HA-ALL1-ZC-08
07664154151,allocated,HA-ALL1-ZC-09
07032073235,allocated,HA-ALL1-ZC-10
07441432261,allocated,HA-ALL2
07370415290,allocated,HA-ALL2-ZA
07644584884,allocated,HA-ALL2-ZA-01
07025912073,allocated,HA-ALL2-ZA-02
07700619489,allocated,HA-ALL2-ZA-03
07321054411,allocated,HA-ALL2-ZA-04
07292045772,allocated,HA-ALL2-ZA-05
07543040592,allocated,HA-ALL2-ZA-06
07986676832,allocated,HA-ALL2-ZA-07
07554327053,allocated,HA-ALL2-ZA-08
07417470539,allocated,HA-ALL2-ZA-09
07807769043,allocated,HA-ALL2-ZA-10
07723354586,allocated,HA-AMB1
07682995511,allocated,HA-AMB1-ZA
07221843781,allocated,HA-AMB1-ZA-01
07481191652,allocated,HA-AMB1-ZA-02
07599742422,allocated,HA-AMB1-ZA-03
07894004578,allocated,HA-AMB1-ZA-04
07441254911,allocated,HA-AMB1-ZA-05
07165649698,allocated,HA-AMB1-ZA-06
07415307781,allocated,HA-AMB1-ZA-07
07223412817,allocated,HA-AMB1-ZA-08
07704569425,allocated,HA-AMB1-ZA-09
07614982265,allocated,HA-AMB1-ZA-10
07439629343,allocated,HA-AMB1-ZB
07809596992,allocated,HA-AMB1-ZB-01
07218175138,allocated,HA-AMB1-ZB-02
07403475810,allocated,HA-AMB1-ZB-03
07085817562,allocated,HA-AMB1-ZB-04
07614151087,allocated,HA-AMB1-ZB-05
07957501971,allocated,HA-AMB1-ZB-06
07010335720,allocated,HA-AMB1-ZB-07
07034646770,allocated,HA-AMB1-ZB-08
07717537555,allocated,HA-AMB1-ZB-09
07482507275,allocated,HA-AMB1-ZB-10
07800368073,allocated,HA-AMB1-ZC
07918300646,allocated,HA-AMB1-ZC-01
07438779594,allocated,HA-AMB1-ZC-02
07077091589,allocated,HA-AMB1-ZC-03
07590508097,allocated,HA-AMB1-ZC-04
07346713179,allocated,HA-AMB1-ZC-05
07745034480,allocated,HA-AMB1-ZC-06
07724382192,allocated,HA-AMB1-ZC-07
07157840087,allocated,HA-AMB1-ZC-08
07245374110,allocated,HA-AMB1-ZC-09
07059656972,allocated,HA-AMB1-ZC-10
07566479554,allocated,HA-AMB2
07521067711,allocated,HA-AMB2-ZA
07268812201,allocated,HA-AMB2-ZA-01
07463711492,allocated,HA-AMB2-ZA-02
07241035187,allocated,HA-AMB2-ZA-03
07123853967,allocated,HA-AMB2-ZA-04
07137485290,allocated,HA-AMB2-ZA-05
07451363671,allocated,HA-AMB2-ZA-06
07630291706,allocated,HA-AMB2-ZA-07
07809598665,allocated,HA-AMB2-ZA-08
07039963433,allocated,HA-AMB2-ZA-09
07552325393,allocated,HA-AMB2-ZA-10
07819212243,allocated,HA-ARU1
07207959879,allocated,HA-ARU1-ZA
07966021467,allocated,HA-ARU1-ZA-01
07363079039,allocated,HA-ARU1-ZA-02
07946121037,allocated,HA-ARU1-ZA-03
07872335402,allocated,HA-ARU1-ZA-04
07962786795,allocated,HA-ARU1-ZA-05
07735962637,allocated,HA-ARU1-ZA-06
07891258161,allocated,HA-ARU1-ZA-07
07123146861,allocated,HA-ARU1-ZA-08
07852454708,allocated,HA-ARU1-ZA-09
07036428459,allocated,HA-ARU1-ZA-10
07114427361,allocated,HA-ARU1-ZB
07971350079,allocated,HA-ARU1-ZB-01
07079535841,allocated,HA-ARU1-ZB-02
07082103128,allocated,HA-ARU1-ZB-03
07705145094,allocated,HA-ARU1-ZB-04
07560564715,allocated,HA-ARU1-ZB-05
07380092121,allocated,HA-ARU1-ZB-06
07674199140,allocated,HA-ARU1-ZB-07
07434557645,allocated,HA-ARU1-ZB-08
07198681071,allocated,HA-ARU1-ZB-09
07025552225,allocated,HA-ARU1-ZB-10
07515695904,allocated,HA-ARU1-ZC
07009199515,allocated,HA-ARU1-ZC-01
07285321073,allocated,HA-ARU1-ZC-02
07475849876,allocated,HA-ARU1-ZC-03
07362622608,allocated,HA-ARU1-ZC-04
07496467514,allocated,HA-ARU1-ZC-05
07242719118,allocated,HA-ARU1-ZC-06
07103833889,allocated,HA-ARU1-ZC-07
07931126888,allocated,HA-ARU1-ZC-08
07113297697,allocated,HA-ARU1-ZC-09
07260014269,allocated,HA-ARU1-ZC-10
07998802495,allocated,HA-ARU2
07403691452,allocated,HA-ARU2-ZA
07535444125,allocated,HA-ARU2-ZA-01
